Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company,Latitude
PPWLM,7/16/2020,157.8000031,10000,1578000.031,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,8/11/2020,150.2599945,10000,1502599.945,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,9/28/2020,171.8000031,10000,1718000.031,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,11/11/2020,154.25,10000,1542500,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,1/21/2021,160,10000,1600000,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,3/3/2021,163,10000,1630000,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,4/1/2021,152.9900055,10000,1529900.055,0,Fossil,United States,PacifiCorp,21.3099
PPWLM,5/3/2021,155,10000,1550000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,7/15/2021,161.8999939,10000,1618999.939,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,8/9/2021,172.5,10000,1725000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,9/2/2021,173,10000,1730000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,10/19/2021,172,10000,1720000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,12/14/2021,170.0899963,10000,1700899.963,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,1/25/2022,174,10000,1740000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,2/16/2022,162.0899963,10000,1620899.963,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,3/16/2022,165,10000,1650000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,4/11/2022,140.75,10000,1407500,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,7/15/2022,150,10000,1500000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,8/8/2022,153.25,10000,1532500,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,9/14/2022,153.25,10000,1532500,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,10/19/2022,153.25,10000,1532500,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,11/9/2022,151.5,10000,1515000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,12/16/2022,130,10000,1300000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,1/27/2023,125.3700027,10000,1253700.027,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,2/8/2023,168,10000,1680000,0.722222222,Fossil,United States,PacifiCorp,21.3099
PPWLM,3/9/2023,135,10000,1350000,0.722222222,Fossil,United States,PacifiCorp,21.3099
UBSFF,4/14/2020,75.40000153,10000,754000.0153,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,5/19/2020,72.15000153,10000,721500.0153,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,6/10/2020,76.37000275,10000,763700.0275,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,7/16/2020,82.5,10000,825000,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,8/11/2020,82.75,10000,827500,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,9/28/2020,87.25,10000,872500,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,11/11/2020,88.80000305,10000,888000.0305,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,1/21/2021,101.5,10000,1015000,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,3/3/2021,83,10000,830000,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,4/1/2021,75.44999695,10000,754499.9695,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,5/3/2021,76.06999969,10000,760699.9969,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,7/15/2021,69.95999908,10000,699599.9908,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,8/9/2021,60,10000,600000,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,9/2/2021,66.08999634,10000,660899.9634,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,10/19/2021,53.25,10000,532500,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,12/14/2021,45.65000153,10000,456500.0153,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,1/25/2022,54.00999832,10000,540099.9832,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,2/16/2022,57.25999832,10000,572599.9832,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,3/16/2022,42.45000076,10000,424500.0076,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,4/11/2022,42.06999969,10000,420699.9969,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,7/15/2022,40.34000015,10000,403400.0015,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,8/8/2022,47.34999847,10000,473499.9847,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,9/14/2022,35,10000,350000,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,10/19/2022,26.59000015,10000,265900.0015,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,11/9/2022,25.76000023,10000,257600.0023,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,12/16/2022,27.39999962,10000,273999.9962,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,1/27/2023,21.10000038,10000,211000.0038,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,2/8/2023,21.22999954,10000,212299.9954,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
UBSFF,3/9/2023,23.55999947,10000,235599.9947,0.396825397,GenderEquality,France,Ubisoft Entertainment,48.8172
PINXF,4/14/2020,0.540000021,10000,5400.000215,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,5/19/2020,0.540000021,10000,5400.000215,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,6/10/2020,0.540000021,10000,5400.000215,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,7/16/2020,0.540000021,10000,5400.000215,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,8/11/2020,0.540000021,10000,5400.000215,0.396825397,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,9/28/2020,0.540000021,10000,5400.000215,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,11/11/2020,0.540000021,10000,5400.000215,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,1/21/2021,1.059999943,10000,10599.99943,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,3/3/2021,1.059999943,10000,10599.99943,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,4/1/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,5/3/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
PINXF,7/15/2021,0.264999986,10000,2649.999857,0,Fossil,China,The People's Insurance Co (Group) of China Ltd,22.542883
