Company,Country,Ticker,Climate,,,
PNM Resources Inc,United States, PNM,Fossil,,,
Portland General Electric Co,United States, POR,Fossil,,,
PPL Corp,United States, PPL,Fossil,,,
Public Service Company of New Mexico,United States,PNMXO,Fossil,,,
Public Service Enterprise Group Inc,United States, PEG,Fossil,,,
RGC Resources Inc,United States,RGCO,Fossil,,,
Sempra Energy,United States, SRE,Fossil,,,
Southern Co,United States, SO,Fossil,,,
Southwest Gas Holdings Inc,United States,SWX,Fossil,,,
Spire Inc,United States, SR,Fossil,,,
Suburban Propane Partners LP,United States,SPH,Fossil,,,
The AES Corp,United States, AES,Fossil,,,
The Connecticut Light & Power Co,United States,CNLHN,Fossil,,,
UGI Corp,United States, UGI,Fossil,,,
Union Electric Co,United States,UELMO,Fossil,,,
Unitil Corp,United States,UTL,Fossil,,,
Via Renewables Inc,United States, VIA,Fossil,,,
Vistra Corp,United States, VST,Fossil,,,
WEC Energy Group Inc,United States, WEC,Fossil,,,
Wisconsin Electric Power Co,United States,WELPM,Fossil,,,
Xcel Energy Inc,United States, XEL,Fossil,,,
China Natural Resources Inc,"Virgin Islands, British",CHNR,Fossil,,,
Feishang Anthracite Resources Ltd,"Virgin Islands, British", FSHRF,Fossil,,,
National Energy Services Reunited Corp,"Virgin Islands, British",NESR,Fossil,,,
Orca Energy Group Inc,"Virgin Islands, British", ORXGF,Fossil,,,
Petro-Victory Energy Corp,"Virgin Islands, British", PTVRF,Fossil,,,
Solgenics Ltd,"Virgin Islands, British", NCDZF,Fossil,,,
Cresud SACIF y A,Argentina, CRESY,Deforestation,,,
YPF SA,Argentina,YPF,Deforestation,,,
China Mengniu Dairy Co Ltd,Cayman Islands, CIADF,Deforestation,,,
CK Hutchison Holdings Ltd,Cayman Islands, CKHUF,Deforestation,,,
Hengan International Group Co Ltd,Cayman Islands, HEGIF,Deforestation,,,
Li Ning Co Ltd,Cayman Islands, LNNGF,Deforestation,,,
WH Group Ltd,Cayman Islands, WHGLY,Deforestation,,,
Bank Of China Ltd,China, BACHF,Deforestation,,,
Industrial And Commercial Bank Of China Ltd,China, IDCBF,Deforestation,,,
ZTE Corp,China, ZTCOF,Deforestation,,,
BNP Paribas,France, BNPQF,Deforestation,,,
Bollore SE,France, BOIVF,Deforestation,,,
Carrefour,France, CAR,Deforestation,,,
Casino Guichard-Perrachon SA,France, CAJ,Deforestation,,,
Compagnie de l`Odet,France, FCODF,Deforestation,,,
Compagnie de Saint-Gobain SA,France, CODGF,Deforestation,,,
Danone SA,France, BN,Deforestation,,,
Kering SA,France, PPRUF,Deforestation,,,
L'Oreal SA,France, LRLCF,Deforestation,,,
LVMH Moet Hennessy Louis Vuitton SE,France, LVMHF,Deforestation,,,
Savencia SA,France, BHP,Deforestation,,,
Sodexo,France, SDXAY,Deforestation,,,
Bhartiya International Ltd,India, BIL,Deforestation,,,
Golden Agri-Resources Ltd,Mauritius, GARPF,Deforestation,,,
Capri Holdings Ltd,"Virgin Islands, British", CPRI,Deforestation,,,
AAC Technologies Holdings Inc,Cayman Islands, AACAF,GenderEquality,,,
Agile Group Holdings Ltd,Cayman Islands, AGPYF,GenderEquality,,,
Alibaba Group Holding Ltd,Cayman Islands, BABA,GenderEquality,,,
Ambarella Inc,Cayman Islands, AMBA,GenderEquality,,,
AMTD Digital Inc,Cayman Islands,HKD,GenderEquality,,,
ANTA Sports Products Ltd,Cayman Islands, ANPDF,GenderEquality,,,
ASMPT Ltd,Cayman Islands, ASMVF,GenderEquality,,,
Ausnutria Dairy Corp Ltd,Cayman Islands, AUDYF,GenderEquality,,,
Autohome Inc,Cayman Islands, ATHM,GenderEquality,,,
Baidu Inc,Cayman Islands, BAIDF,GenderEquality,,,
BeiGene Ltd,Cayman Islands, BGNE,GenderEquality,,,
Bilibili Inc,Cayman Islands, BILI,GenderEquality,,,
Budweiser Brewing Co APAC Ltd,Cayman Islands, BDWBF,GenderEquality,,,
China Conch Venture Holdings Ltd,Cayman Islands, CCVTF,GenderEquality,,,
China Education Group Holdings Ltd,Cayman Islands, CEGHF,GenderEquality,,,
China Evergrande Group,Cayman Islands, EGRNF,GenderEquality,,,
China Hongqiao Group Ltd,Cayman Islands, CHHQF,GenderEquality,,,
China Literature Ltd,Cayman Islands, CHLLF,GenderEquality,,,
China Medical System Holdings Ltd,Cayman Islands, CHSYF,GenderEquality,,,
China Mengniu Dairy Co Ltd,Cayman Islands, CIADF,GenderEquality,,,
China Resources Cement Holdings Ltd,Cayman Islands, CARCY,GenderEquality,,,
China Resources Land Ltd,Cayman Islands, CRBJF,GenderEquality,,,
China State Construction International Holdings Ltd,Cayman Islands, CCOHF,GenderEquality,,,
Chow Tai Fook Jewellery Group Ltd,Cayman Islands, CJEWF,GenderEquality,,,
CK Asset Holdings Ltd,Cayman Islands, CHKGF,GenderEquality,,,
CK Hutchison Holdings Ltd,Cayman Islands, CKHUF,GenderEquality,,,
Country Garden Holdings Co Ltd,Cayman Islands, CTRYF,GenderEquality,,,
Country Garden Services Holdings Co Ltd,Cayman Islands, CGSHY,GenderEquality,,,
Dali Foods Group Co Ltd,Cayman Islands, DLLFF,GenderEquality,,,
Dingdong (Cayman) Ltd,Cayman Islands, DDL,GenderEquality,,,
Diversey Holdings Ltd,Cayman Islands,DSEY,GenderEquality,,,
DLocal Ltd,Cayman Islands,DLO,GenderEquality,,,
ENN Energy Holdings Ltd,Cayman Islands, XNGSF,GenderEquality,,,
ESR Group Ltd,Cayman Islands, ESRCF,GenderEquality,,,
Fabrinet,Cayman Islands,FAN,GenderEquality,,,
Farfetch Ltd,Cayman Islands, FTCH,GenderEquality,,,
FIT Hon Teng Ltd,Cayman Islands, FITGF,GenderEquality,,,
Full Truck Alliance Co Ltd,Cayman Islands, YMM,GenderEquality,,,
Futu Holdings Ltd,Cayman Islands, FUTU,GenderEquality,,,
Galaxy Digital Holdings Ltd,Cayman Islands, BRPHF,GenderEquality,,,
GDS Holdings Ltd,Cayman Islands, GDS,GenderEquality,,,
Geely Automobile Holdings Ltd,Cayman Islands, GELYF,GenderEquality,,,
GLOBALFOUNDRIES Inc,Cayman Islands, GFS,GenderEquality,,,
Greentown China Holdings Ltd,Cayman Islands, GTWCF,GenderEquality,,,
H World Group Ltd,Cayman Islands, HTHT,GenderEquality,,,
Haidilao International Holding Ltd,Cayman Islands, HDALF,GenderEquality,,,
Health and Happiness (H&H) International Holdings Ltd,Cayman Islands, BTSDF,GenderEquality,,,
Hello Group Inc,Cayman Islands, MOMO,GenderEquality,,,
Hengan International Group Co Ltd,Cayman Islands, HEGIF,GenderEquality,,,
Herbalife Nutrition Ltd,Cayman Islands,HLF,GenderEquality,,,
HKT Trust and HKT Ltd,Cayman Islands, HKTTF,GenderEquality,,,
HUTCHMED (China) Ltd,Cayman Islands, HCM,GenderEquality,,,
JD.com Inc,Cayman Islands, JD,GenderEquality,,,
JOYY Inc,Cayman Islands, YY,GenderEquality,,,
JS Global Lifestyle Co Ltd,Cayman Islands, JGLCF,GenderEquality,,,
Kanzhun Ltd,Cayman Islands, BZ,GenderEquality,,,
Kingboard Holdings Ltd,Cayman Islands, KBDCF,GenderEquality,,,
Kingboard Laminates Holdings Ltd,Cayman Islands, KGBLF,GenderEquality,,,
Kingsoft Corp Ltd,Cayman Islands, KSFTF,GenderEquality,,,
KWG Group Holdings Ltd,Cayman Islands, KWGPF,GenderEquality,,,
Lee & Man Paper Manufacturing Ltd,Cayman Islands, LMPMF,GenderEquality,,,
Legend Biotech Corp,Cayman Islands, LEGN,GenderEquality,,,
Li Ning Co Ltd,Cayman Islands, LNNGF,GenderEquality,,,
Logan Property Holdings Co Ltd,Cayman Islands, LPHHF,GenderEquality,,,
Longfor Group Holdings Ltd,Cayman Islands, LGFRY,GenderEquality,,,
Luckin Coffee Inc,Cayman Islands, LKCO,GenderEquality,,,
Manchester United PLC,Cayman Islands, MANU,GenderEquality,,,
Meituan,Cayman Islands, MPNGF,GenderEquality,,,
Melco Resorts and Entertainment Ltd,Cayman Islands, MAS,GenderEquality,,,
MGM China Holdings Ltd,Cayman Islands, MCHVF,GenderEquality,,,
MicroPort Scientific Corp,Cayman Islands, MCRPF,GenderEquality,,,
Minth Group Ltd,Cayman Islands, MNTHF,GenderEquality,,,
NagaCorp Ltd,Cayman Islands, NGCRF,GenderEquality,,,
NetEase Inc,Cayman Islands, NETTF,GenderEquality,,,
New Oriental Education & Technology Group Inc,Cayman Islands, EDU,GenderEquality,,,
Nexteer Automotive Group Ltd,Cayman Islands, NTXVF,GenderEquality,,,
NIO Inc,Cayman Islands, NIO,GenderEquality,,,
Noah Holdings Ltd,Cayman Islands, NOAH,GenderEquality,,,
PagSeguro Digital Ltd,Cayman Islands,PAGS,GenderEquality,,,
PDD Holdings Inc,Cayman Islands, PDD,GenderEquality,,,
RLX Technology Inc,Cayman Islands, RLX,GenderEquality,,,
Sands China Ltd,Cayman Islands, SCHYF,GenderEquality,,,
Sapiens International Corp NV,Cayman Islands, SPNS,GenderEquality,,,
Sea Ltd,Cayman Islands, SE,GenderEquality,,,
Seazen Group Ltd,Cayman Islands, SZENF,GenderEquality,,,
Shenzhou International Group Holdings Ltd,Cayman Islands, SHZHY,GenderEquality,,,
Shimao Group Holdings Ltd,Cayman Islands, SHMAY,GenderEquality,,,
Silicon Motion Technology Corp,Cayman Islands, SIMO,GenderEquality,,,
Sino Biopharmaceutical Ltd,Cayman Islands, SBHMY,GenderEquality,,,
SITC International Holdings Co Ltd,Cayman Islands, SITIF,GenderEquality,,,
StoneCo Ltd,Cayman Islands, STNE,GenderEquality,,,
Sunac China Holdings Ltd,Cayman Islands, SCCCF,GenderEquality,,,
Sunny Optical Technology (Group) Co Ltd,Cayman Islands, SNPTF,GenderEquality,,,
TAL Education Group,Cayman Islands, TAL,GenderEquality,,,
Tencent Holdings Ltd,Cayman Islands, TCEHY,GenderEquality,,,
Tencent Music Entertainment Group,Cayman Islands, TME,GenderEquality,,,
Tingyi (Cayman Islands) Holding Corp,Cayman Islands, TCYMF,GenderEquality,,,
Trip.com Group Ltd,Cayman Islands, TCOM,GenderEquality,,,
Tuya Inc,Cayman Islands, TUYA,GenderEquality,,,
Uni-President China Holdings Ltd,Cayman Islands, UNPSF,GenderEquality,,,
Vinda International Holdings Ltd,Cayman Islands, VDAHF,GenderEquality,,,
Vipshop Holdings Ltd,Cayman Islands, VIPS,GenderEquality,,,
Want Want China Holdings Ltd,Cayman Islands, WWNTF,GenderEquality,,,
Weibo Corp,Cayman Islands, WB,GenderEquality,,,
WH Group Ltd,Cayman Islands, WHGLY,GenderEquality,,,
Wharf Real Estate Investment Co Ltd,Cayman Islands, WRFRF,GenderEquality,,,
WuXi Biologics (Cayman) Inc,Cayman Islands, WXIBF,GenderEquality,,,
Wynn Macau Ltd,Cayman Islands, WYNMF,GenderEquality,,,
Xiaomi Corp,Cayman Islands, XIACF,GenderEquality,,,
Xinyi Glass Holdings Ltd,Cayman Islands, XYIGF,GenderEquality,,,
Xinyi Solar Holdings Ltd,Cayman Islands, XISHY,GenderEquality,,,
XP Inc,Cayman Islands,XP,GenderEquality,,,
Zai Lab Ltd,Cayman Islands, ZLAB,GenderEquality,,,
Zhihu Inc,Cayman Islands, ZH,GenderEquality,,,
Zhongsheng Group Holdings Ltd,Cayman Islands, ZHSHF,GenderEquality,,,
ZTO Express (Cayman) Inc,Cayman Islands, ZTO,GenderEquality,,,
Agricultural Bank of China Ltd,China, ACGBF,GenderEquality,,,
AviChina Industry & Technology Co Ltd,China, AVIJF,GenderEquality,,,
BAIC Motor Corp Ltd,China, BCCMY,GenderEquality,,,
Bank Of China Ltd,China, BACHF,GenderEquality,,,
Bank of Communications Co Ltd,China, BCMXY,GenderEquality,,,
Beijing Capital International Airport Co Ltd,China, BJCHF,GenderEquality,,,
BYD Co Ltd,China, BYDDF,GenderEquality,,,
China Cinda Asset Management Co Ltd,China, CCGDF,GenderEquality,,,
China Citic Bank Corp Ltd,China, CHBJF,GenderEquality,,,
China Communications Services Corp Ltd,China, CUCSF,GenderEquality,,,
China Construction Bank Corp,China, CICHF,GenderEquality,,,
China International Capital Corp Ltd,China, CIM,GenderEquality,,,
China Life Insurance Co Ltd,China, CILJF,GenderEquality,,,
China Longyuan Power Group Corp Ltd,China, CLPXF,GenderEquality,,,
China Merchants Bank Co Ltd,China, CIHHF,GenderEquality,,,
China National Building Material Co Ltd,China, CBUMF,GenderEquality,,,
China Petroleum & Chemical Corp,China, SNPMF,GenderEquality,,,
China Shenhua Energy Co Ltd,China, CSUAY,GenderEquality,,,
China Vanke Co Ltd,China, CHVKF,GenderEquality,,,
Dongfeng Motor Group Co Ltd,China, DNFGF,GenderEquality,,,
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,China, GZPHF,GenderEquality,,,
Guangzhou R&F Properties Co Ltd,China, GZUHF,GenderEquality,,,
Industrial And Commercial Bank Of China Ltd,China, IDCBF,GenderEquality,,,
Legend Holdings Ltd,China, LGNRF,GenderEquality,,,
Nongfu Spring Co Ltd,China, NNFSF,GenderEquality,,,
PetroChina Co Ltd,China, PCCYF,GenderEquality,,,
PICC Property and Casualty Co Ltd,China, PPCCF,GenderEquality,,,
Ping An Insurance (Group) Co. of China Ltd,China, PIAIF,GenderEquality,,,
Shandong Weigao Group Medical Polymer Co Ltd,China, SHWGF,GenderEquality,,,
SINOPEC Engineering (Group) Co Ltd,China, SENGF,GenderEquality,,,
Sinopharm Group Co Ltd,China, SHTDF,GenderEquality,,,
TravelSky Technology Ltd,China, TSYHF,GenderEquality,,,
Yuzhou Group Holdings Co Ltd,China, YUZHF,GenderEquality,,,
Zhaojin Mining Industry Co Ltd,China, ZHAOF,GenderEquality,,,
Zhejiang Expressway Co Ltd,China, ZHEXF,GenderEquality,,,
ZhongAn Online P&C Insurance Co Ltd,China, ZZHGF,GenderEquality,,,
Zhuzhou CRRC Times Electric Co Ltd,China, ZHUZF,GenderEquality,,,
Accor SA,France, AC,GenderEquality,,,
Aeroports de Paris SA,France, ADP,GenderEquality,,,
Air France-KLM,France, AFLYY,GenderEquality,,,
Air Liquide SA,France, AI,GenderEquality,,,
Alstom SA,France, ALSMY,GenderEquality,,,
Altarea SCA,France, ATRRF,GenderEquality,,,
Amundi SA,France, AMDUF,GenderEquality,,,
Arkema SA,France, ARKAF,GenderEquality,,,
Atos SE,France, AEXAF,GenderEquality,,,
AXA SA,France, AXAHF,GenderEquality,,,
Believe SA,France, BLV,GenderEquality,,,
Bic,France, BB,GenderEquality,,,
BioMerieux SA,France, BMXMF,GenderEquality,,,
BNP Paribas,France, BNPQF,GenderEquality,,,
Bollore SE,France, BOIVF,GenderEquality,,,
Bouygues,France, BOUYF,GenderEquality,,,
Bureau Veritas SA,France, BVRDF,GenderEquality,,,
Capgemini SE,France, CAPMF,GenderEquality,,,
Carrefour,France, CAR,GenderEquality,,,
Casino Guichard-Perrachon SA,France, CAJ,GenderEquality,,,
Christian Dior SE,France, CHDRF,GenderEquality,,,
Compagnie de l`Odet,France, FCODF,GenderEquality,,,
Compagnie de Saint-Gobain SA,France, CODGF,GenderEquality,,,
Covivio SA,France, GSEFF,GenderEquality,,,
Credit Agricole SA,France, ACA,GenderEquality,,,
Danone SA,France, BN,GenderEquality,,,
Dassault Aviation SA,France, AM,GenderEquality,,,
Dassault Systemes SE,France, DASTF,GenderEquality,,,
Edenred SA,France, EDEN,GenderEquality,,,
Eiffage SA,France, EFGSF,GenderEquality,,,
Electricite de France SA,France, ECIFF,GenderEquality,,,
Elis SA,France, ELSSF,GenderEquality,,,
Engie SA,France, ENGIY,GenderEquality,,,
Essilorluxottica,France, EL,GenderEquality,,,
Eurazeo SE,France, EUZOF,GenderEquality,,,
Eutelsat Communications,France, ETCMY,GenderEquality,,,
Exclusive Networks SA,France, EXN,GenderEquality,,,
Faurecia SE,France, FURCF,GenderEquality,,,
Gaztransport et technigaz SA,France, GZPZF,GenderEquality,,,
Gecina Nom,France, GECFF,GenderEquality,,,
Getlink SE,France, GRPTF,GenderEquality,,,
Hermes International SA,France, HESAF,GenderEquality,,,
Icade,France, CDMGF,GenderEquality,,,
Imerys,France, IMYSF,GenderEquality,,,
Interparfums,France, ITP,GenderEquality,,,
Ipsen SA,France, IPSEF,GenderEquality,,,
JCDecaux SE,France, JCDXF,GenderEquality,,,
Kering SA,France, PPRUF,GenderEquality,,,
Klepierre,France, KLPEF,GenderEquality,,,
L'Oreal SA,France, LRLCF,GenderEquality,,,
La Francaise Des Jeux SA,France, LFDJF,GenderEquality,,,
Lagardere SA,France, LGDDF,GenderEquality,,,
Legrand SA,France, LGRDY,GenderEquality,,,
LVMH Moet Hennessy Louis Vuitton SE,France, LVMHF,GenderEquality,,,
Mercialys SA,France, MEIYF,GenderEquality,,,
Metropole Television SA,France, MMT,GenderEquality,,,
Michelin,France, MCHA,GenderEquality,,,
Nexans,France, NEX,GenderEquality,,,
Nexity SA,France, NNXXY,GenderEquality,,,
Orange SA,France, FNCTF,GenderEquality,,,
Orpea SA,France, OPA,GenderEquality,,,
Pernod Ricard SA,France, PDRDF,GenderEquality,,,
Peugeot Invest,France, FFPP,GenderEquality,,,
Plastic Omnium,France, EZM,GenderEquality,,,
Publicis Groupe SA,France, PGPEF,GenderEquality,,,
Remy Cointreau,France, REMYF,GenderEquality,,,
Renault SA,France, RNLSY,GenderEquality,,,
Rexel SA,France, RXEEY,GenderEquality,,,
Rothschild & Co SCA,France, PIEJF,GenderEquality,,,
Rubis SCA,France, BYN,GenderEquality,,,
Safran SA,France, SAFRF,GenderEquality,,,
Sanofi SA,France, SAN,GenderEquality,,,
Sartorius Stedim Biotech SA,France, DIM,GenderEquality,,,
Schneider Electric SE,France, SBGSF,GenderEquality,,,
SCOR SE,France, SCRYY,GenderEquality,,,
SEB SA,France, SEBYF,GenderEquality,,,
Societe Generale SA,France, SCGLF,GenderEquality,,,
Sodexo,France, SDXAY,GenderEquality,,,
Soitec SA,France, SLOIF,GenderEquality,,,
Sopra Steria Group SA,France, SPSAF,GenderEquality,,,
Teleperformance SE,France, TLPFF,GenderEquality,,,
Television Francaise 1 SA,France, TFI,GenderEquality,,,
Thales,France, CSF,GenderEquality,,,
Tikehau Capital SCA,France, TKKHF,GenderEquality,,,
TotalEnergies SE,France, TTE,GenderEquality,,,
Trigano SA,France, TRI,GenderEquality,,,
Ubisoft Entertainment,France, UBSFF,GenderEquality,,,
Valeo SA,France, FR,GenderEquality,,,
Vallourec SA,France, VAC,GenderEquality,,,
Veolia Environnement SA,France, VEOEF,GenderEquality,,,
Vinci SA,France, DG,GenderEquality,,,
Virbac SA,France, VRBCF,GenderEquality,,,
Vivendi SE,France, VIV,GenderEquality,,,
Wendel SE,France, MF,GenderEquality,,,
Worldline SA,France, WWLNF,GenderEquality,,,
Golden Agri-Resources Ltd,Mauritius, GARPF,GenderEquality,,,
MakeMyTrip Ltd,Mauritius,MMYT,GenderEquality,,,
ALLETE Inc,United States, ALE,GenderEquality,,,
Alliant Energy Corp,United States, LNT,GenderEquality,,,
Ameren Corp,United States, AEE,GenderEquality,,,
American Electric Power Co Inc,United States, AEP,GenderEquality,,,
Atmos Energy Corp,United States, AEO,GenderEquality,,,
Avangrid Inc,United States, AGR,GenderEquality,,,
Avista Corp,United States, AVA,GenderEquality,,,
