,CreatedDate,Invested_Value,Invested_Value_NoImpact
126,2031-05-09,25149957.46310229,28077269.254103668
127,2031-06-09,25179942.542601664,28138682.20756459
128,2031-07-09,25136255.885374576,28130914.146296903
129,2031-08-09,25290414.461063694,28315512.61417208
130,2031-09-09,25273156.232083265,28333566.310399614
131,2031-10-09,25308153.059854705,28396169.146032862
132,2031-11-09,25476724.16841448,28602663.009345163
133,2031-12-09,25638462.592972983,28802213.28596539
134,2032-01-09,25776352.04595082,28971468.87726005
135,2032-02-09,25919657.11113831,29149982.953506272
136,2032-03-09,25984467.20098584,29248318.062603515
137,2032-04-09,26102282.863441505,29395111.923549622
138,2032-05-09,26235346.812142435,29566148.11173973
139,2032-06-09,26402327.23029448,29765308.16387658
140,2032-07-09,26462070.396198284,29870851.440224808
141,2032-08-09,26539943.953060355,29987421.7750984
142,2032-09-09,26475537.455336373,29950044.62418241
143,2032-10-09,26588367.61435312,30108815.85277763
144,2032-11-09,26596865.15707015,30145436.01428389
145,2032-12-09,26757326.14023246,30350660.282617036
146,2033-01-09,26815581.79910866,30452923.53927185
147,2033-02-09,26750734.44343432,30407393.654756445
148,2033-03-09,26737464.096707605,30431074.385658115
149,2033-04-09,26706757.24543018,30424367.59351615
150,2033-05-09,26926127.535306517,30691720.53393194
151,2033-06-09,26895623.26007086,30683241.43576225
152,2033-07-09,26877976.609645125,30705804.73038445
153,2033-08-09,26959148.19945836,30820113.027844097
154,2033-09-09,27153900.12271592,31059717.44934373
155,2033-10-09,27220238.810676023,31158315.484010383
156,2033-11-09,27385829.82573468,31385053.91700408
157,2033-12-09,27441921.40610829,31479858.16859551
158,2034-01-09,27597555.936508257,31679956.59558761
159,2034-02-09,27723482.02932436,31850025.94304768
160,2034-03-09,27922099.0633658,32095497.414641783
161,2034-04-09,27979906.14476991,32173853.22113053
162,2034-05-09,27925622.92049845,32165157.162725195
163,2034-06-09,27882069.54681046,32145043.994211294
164,2034-07-09,27853100.33348117,32152318.565000765
165,2034-08-09,27977591.557885967,32307451.410835862
166,2034-09-09,28075926.009034514,32439204.88750334
167,2034-10-09,28098700.220877588,32514897.50913452
168,2034-11-09,28290062.306188308,32744223.947604146
169,2034-12-09,28213631.487143096,32699818.764092684
170,2035-01-09,28305206.824793786,32831389.011978608
171,2035-02-09,28406694.30418148,32968886.8135634
172,2035-03-09,28600316.719472248,33198761.12114696
173,2035-04-09,28769036.338304225,33415182.53066333
174,2035-05-09,28833644.62458303,33522190.71565985
175,2035-06-09,29034756.10614365,33776001.0452188
176,2035-07-09,29248626.31030622,34022469.514289506
177,2035-08-09,29467892.530945417,34296833.443123884
178,2035-09-09,29645657.3040978,34499142.73284893
179,2035-10-09,29805330.035512444,34708659.52119371
180,2035-11-09,30020181.52332728,34963052.67711044
181,2035-12-09,30107658.62946837,35102519.71424269
182,2036-01-09,30036945.42109529,35068342.01292366
183,2036-02-09,30250496.54315453,35343860.49875812
184,2036-03-09,30447510.951210137,35594956.92503499
185,2036-04-09,30618386.11745106,35807398.69597685
186,2036-05-09,30813486.58663015,36045936.42605148
187,2036-06-09,30838303.221765347,36094456.83523623
188,2036-07-09,30931100.2906528,36225085.33816029
189,2036-08-09,31024646.44282567,36366220.12812813
190,2036-09-09,30990357.271776192,36365694.48541749
191,2036-10-09,31101238.113313485,36517393.78320039
192,2036-11-09,31186882.665570676,36652178.86060661
193,2036-12-09,31137387.87906588,36623174.18752754
194,2037-01-09,31326925.20668954,36867812.95382921
195,2037-02-09,31506823.45281028,37111972.334251866
196,2037-03-09,31556821.53654882,37207420.04967194
197,2037-04-09,31736870.861834068,37432037.835299775
198,2037-05-09,31872021.9641938,37592964.19645333
199,2037-06-09,31845854.04954062,37610380.93076027
200,2037-07-09,31917889.0856356,37733436.31727495
201,2037-08-09,32106948.630700715,37976742.97015542
202,2037-09-09,32086794.65952292,38003875.44195157
203,2037-10-09,32321401.65712564,38307026.67991703
204,2037-11-09,32291774.920808308,38321681.49043874
205,2037-12-09,32547892.241210654,38650386.20000203
206,2038-01-09,32469773.85483475,38596217.58327169
207,2038-02-09,32448951.454940565,38593501.57775842
208,2038-03-09,32584615.682529185,38785110.85765211
209,2038-04-09,32508549.920075096,38737044.46004238
210,2038-05-09,32675033.652919427,38946588.2907645
211,2038-06-09,32871996.24864016,39192666.90043239
212,2038-07-09,33085288.546705555,39475370.98343264
213,2038-08-09,33024452.42646538,39459930.070252426
214,2038-09-09,33159372.018946853,39640115.09740604
215,2038-10-09,33188416.194362428,39738594.78541355
216,2038-11-09,33193120.239313677,39777623.961161815
217,2038-12-09,33278632.632144827,39912710.70620567
218,2039-01-09,33266075.97065999,39924544.32198875
219,2039-02-09,33170129.11715907,39846427.23771667
220,2039-03-09,33378182.457151957,40137534.96610583
221,2039-04-09,33299278.520065736,40120213.78687952
222,2039-05-09,33324829.027640466,40199587.46061961
223,2039-06-09,33590216.92647982,40533851.54179974
224,2039-07-09,33654831.36626557,40637841.28351092
225,2039-08-09,33851628.29221798,40921329.14620098
226,2039-09-09,33938890.53536501,41066979.11710668
227,2039-10-09,34135373.44676359,41334653.109269895
228,2039-11-09,34266867.674557924,41509885.4008263
229,2039-12-09,34206947.6927005,41493007.72719049
230,2040-01-09,34250371.72990233,41605959.94014472
231,2040-02-09,34360718.71305614,41781974.750018194
232,2040-03-09,34465001.81748126,41962838.42528877
233,2040-04-09,34418429.026749216,41948251.24778989
234,2040-05-09,34598653.47153786,42179372.35244954
235,2040-06-09,34704456.0238208,42328385.13797403
236,2040-07-09,34692684.829550415,42373982.16139333
237,2040-08-09,34641514.87521885,42345437.24205484
238,2040-09-09,34854082.8023882,42603200.97885079
239,2040-10-09,34842143.0667107,42610202.772683226
240,2040-11-09,34764378.70224141,42577161.80440887
241,2040-12-09,34990423.39876147,42868112.933822654
242,2041-01-09,34980982.76210546,42908979.13992984
243,2041-02-09,35158711.781064585,43151786.27879983
244,2041-03-09,35345488.411360495,43372482.79204692
245,2041-04-09,35248033.395870015,43308160.701368086
246,2041-05-09,35305711.14036952,43410459.87597656
247,2041-06-09,35424814.033607654,43549487.903387904
248,2041-07-09,35591389.50585127,43795961.33316374
249,2041-08-09,35541132.42828685,43780728.34979866
250,2041-09-09,35653522.3757993,43958794.48152349
251,2041-10-09,35541326.64704988,43862250.87295714
252,2041-11-09,35669547.89687785,44040514.55751055
253,2041-12-09,35900741.50274041,44323249.9510596
254,2042-01-09,35973512.605598934,44438683.23063625
255,2042-02-09,35927445.586980484,44431682.83415635
256,2042-03-09,35931863.883623205,44481014.96202957
257,2042-04-09,36134049.46908402,44767418.27661345
258,2042-05-09,36309335.14079298,45014251.32855523
259,2042-06-09,36403735.430088416,45164633.921365365
260,2042-07-09,36687763.773911655,45525074.34718505
261,2042-08-09,36730272.47901065,45632573.599006295
262,2042-09-09,36680897.61422503,45613403.08623918
263,2042-10-09,36647820.16413096,45619302.06784272
264,2042-11-09,36777765.20372646,45812495.97071055
265,2042-12-09,36825035.64884107,45911076.47710304
266,2043-01-09,36841699.29489976,45957678.584079966
267,2043-02-09,36842635.82456778,45990769.78717055
268,2043-03-09,36942912.39053066,46154565.008319885
269,2043-04-09,37103281.11640443,46405207.81014686
270,2043-05-09,37098705.21946927,46429501.88170149
271,2043-06-09,37366818.521020815,46733448.13595817
272,2043-07-09,37408051.503708094,46840993.00294686
273,2043-08-09,37619578.28034543,47129292.30249421
274,2043-09-09,37885341.820305295,47479776.7664646
275,2043-10-09,38078512.152365856,47709455.86963899
276,2043-11-09,38385849.55775119,48117996.11321802
277,2043-12-09,38677134.95147951,48486960.80813777
278,2044-01-09,38590545.83969122,48426761.48905417
